# ORÁCULO: a vista `Khronos PBR Neutral` do Blender 5.2, corrida pelo OpenColorIO sem interface
# OpenColorIO 2.5.1 (BSD-3-Clause) · config.ocio sha256 47a7d83e79c1d21f49ba6c505efe311da723471688c614b5c366e1da7eb8ea3a
# pbrNeutral.cube sha256 cc177eeaa09e43a7d1a3e59e0745beba09a5190764259db58a485513a143f0b9
# entrada: os NÓS do LUT, lg2 [-9, 10] em 57 passos — 57 cinzas + 400 cores (semente 20260913)
# gerado por docs/Render3d/ferramentas/fixture_neutral.py · formato: r g b  R G B (linear da cena · sRGB codificado)
1.789164098e+00 8.094029437e+02 4.154199425e-02  9.963707924e-01 9.999698997e-01 9.963629842e-01
1.879325237e+01 4.583432958e+00 3.622894657e+00  9.986099601e-01 9.016413689e-01 8.945775032e-01
1.174171654e+01 3.126082198e-03 9.748733216e+01  9.743267298e-01 9.707802534e-01 9.997395873e-01
1.346366282e-01 8.094029437e+02 3.449085301e-01  9.963632822e-01 9.999698997e-01 9.963641167e-01
1.789164098e+00 2.263525295e+00 8.094029437e+02  9.963706732e-01 9.963728189e-01 9.999698997e-01
8.094029437e+02 2.863653906e+00 2.726269332e-01  9.999698997e-01 9.963753819e-01 9.963637590e-01
3.126082198e-03 6.397784427e+02 4.583432958e+00  9.954040647e-01 9.999615550e-01 9.954369068e-01
1.560337477e+02 2.595475819e-02 8.411876204e-02  9.998382330e-01 9.814882278e-01 9.814952612e-01
8.094029437e+02 1.024000000e+03 9.748733216e+01  9.993790388e-01 9.999765158e-01 9.973944426e-01
9.748733216e+01 1.953125000e-03 1.414213562e+00  9.997395873e-01 9.707806706e-01 9.712083340e-01
1.974029857e+02 2.863653906e+00 1.621610818e-02  9.998725057e-01 9.855082035e-01 9.852958322e-01
2.726269332e-01 3.954900579e-03 3.007961686e+01  9.130950570e-01 9.122699499e-01 9.991431236e-01
1.485479863e+01 5.255602595e-02 3.449085301e-01  9.982267618e-01 8.391366601e-01 8.426690102e-01
6.330032277e-03 4.814405365e+01 6.397784427e+02  9.954040647e-01 9.957479835e-01 9.999615550e-01
1.953125000e-03 9.281035089e+00 1.281773994e-02  7.676816583e-01 9.971025586e-01 7.680044770e-01
1.703328464e-01 2.154932053e-01 6.397784427e+02  9.954048395e-01 9.954051971e-01 9.999615550e-01
2.497404524e+02 7.705716174e+01 9.748733216e+01  9.998995066e-01 9.919172525e-01 9.928655028e-01
3.159541551e+02 1.621610818e-02 3.622894657e+00  9.999209046e-01 9.907487035e-01 9.908539057e-01
6.984084199e-01 3.954900579e-03 1.560337477e+02  9.815725088e-01 9.814899564e-01 9.998382330e-01
1.346366282e-01 8.094029437e+02 9.748733216e+01  9.963632822e-01 9.999698997e-01 9.967981577e-01
7.705716174e+01 3.997231013e+02 7.705716174e+01  9.940745831e-01 9.999378324e-01 9.940745831e-01
8.411876204e-02 1.174171654e+01 8.094029437e+02  9.963631630e-01 9.964151382e-01 9.999698997e-01
4.583432958e+00 5.003463632e-03 9.748733216e+01  9.721652269e-01 9.707797766e-01 9.997399449e-01
9.281035089e+00 2.470957161e-03 7.336032346e+00  9.971023798e-01 7.676727176e-01 9.549587369e-01
4.154199425e-02 8.008314156e-03 3.007961686e+01  9.123641849e-01 9.122610688e-01 9.991431236e-01
2.377590863e+01 7.336032346e+00 2.470957161e-03  9.989106655e-01 9.267272353e-01 8.919889927e-01
8.835774907e-01 1.789164098e+00 9.281035089e+00  7.917191386e-01 8.172065616e-01 9.970899224e-01
3.159541551e+02 8.094029437e+02 1.879325237e+01  9.977726340e-01 9.999698997e-01 9.964466095e-01
1.485479863e+01 1.013155902e-02 1.560337477e+02  9.832538962e-01 9.814893007e-01 9.998382330e-01
1.281773994e-02 2.377590863e+01 2.470957161e-03  8.920391798e-01 9.989105463e-01 8.919889927e-01
6.330032277e-03 6.984084199e-01 6.397784427e+02  9.954040647e-01 9.954091311e-01 9.999615550e-01
5.520447568e-01 1.414213562e+00 1.013155902e-02  6.643338203e-01 9.708168507e-01 2.760756910e-01
2.497404524e+02 6.649020861e-02 4.814405365e+01  9.998995066e-01 9.883321524e-01 9.905726314e-01
2.863653906e+00 2.470957161e-03 1.703328464e-01  9.891023040e-01 5.011252761e-01 5.465540290e-01
1.064211750e-01 3.126082198e-03 1.064211750e-01  3.547895253e-01 7.896076422e-04 3.547895253e-01
1.953125000e-03 8.008314156e-03 3.622894657e+00  5.642200112e-01 5.653085113e-01 9.917864799e-01
3.283614496e-02 1.174171654e+01 1.013155902e-02  8.062859774e-01 9.977375865e-01 8.058549762e-01
9.748733216e+01 4.583432958e+00 6.649020861e-02  9.997395277e-01 9.721457958e-01 9.707784057e-01
2.595475819e-02 1.953125000e-03 8.008314156e-03  1.681168824e-01 3.075797867e-04 7.084845752e-02
1.879325237e+01 3.954900579e-03 1.414213562e+00  9.986127019e-01 8.677742481e-01 8.784998655e-01
2.497404524e+02 1.174171654e+01 5.520447568e-01  9.998995066e-01 9.888766408e-01 9.883545637e-01
3.283614496e-02 5.798638843e+00 3.954900579e-03  6.779255867e-01 9.951819181e-01 6.758242249e-01
3.622894657e+00 1.621610818e-02 7.705716174e+01  9.651201963e-01 9.633812308e-01 9.996699095e-01
1.560337477e+02 1.414213562e+00 1.174171654e+01  9.998382330e-01 9.816491008e-01 9.828775525e-01
1.953125000e-03 1.346366282e-01 7.336032346e+00  7.243277431e-01 7.304701209e-01 9.962732792e-01
9.748733216e+01 3.622894657e+00 4.363541516e-01  9.997396469e-01 9.718546867e-01 9.708898067e-01
7.336032346e+00 8.094029437e+02 2.377590863e+01  9.963953495e-01 9.999698997e-01 9.964689016e-01
1.560337477e+02 3.805462768e+01 7.336032346e+00  9.998382330e-01 9.859982133e-01 9.823537469e-01
1.560337477e+02 1.879325237e+01 1.117840450e+00  9.998382330e-01 9.837151170e-01 9.816140532e-01
1.013155902e-02 6.090848979e+01 4.154199425e-02  9.542200565e-01 9.995813370e-01 9.542439580e-01
5.798638843e+00 6.090848979e+01 4.154199425e-02  9.586253762e-01 9.995812774e-01 9.542126060e-01
1.281773994e-02 1.485479863e+01 2.863653906e+00  8.391479850e-01 9.982297421e-01 8.727092147e-01
5.057017137e+02 2.051548602e-02 1.233341550e+02  9.999510050e-01 9.941943884e-01 9.956018329e-01
3.159541551e+02 3.805462768e+01 5.798638843e+00  9.999209046e-01 9.918573499e-01 9.909161329e-01
1.789164098e+00 5.057017137e+02 1.414213562e+00  9.942139387e-01 9.999510050e-01 9.942095876e-01
1.117840450e+00 1.174171654e+01 1.064211750e-01  8.256745338e-01 9.977313280e-01 8.067126870e-01
2.051548602e-02 2.470957161e-03 2.154932053e-01  1.432040483e-01 4.936759942e-04 4.989418685e-01
4.363541516e-01 2.377590863e+01 7.336032346e+00  8.937686086e-01 9.989088178e-01 9.265082479e-01
6.984084199e-01 5.798638843e+00 3.997231013e+02  9.926808476e-01 9.927740097e-01 9.999378324e-01
1.621610818e-02 9.748733216e+01 2.470957161e-03  9.707847834e-01 9.997395873e-01 9.707803130e-01
2.595475819e-02 1.233341550e+02 2.470957161e-03  9.767304063e-01 9.997947812e-01 9.767258167e-01
4.363541516e-01 1.117840450e+00 1.281773994e-02  6.363648176e-01 9.554921389e-01 1.814919114e-01
5.003463632e-03 8.835774907e-01 7.336032346e+00  7.242562175e-01 7.637624741e-01 9.962716699e-01
2.051548602e-02 1.879325237e+01 4.363541516e-01  8.677100539e-01 9.986117482e-01 8.708953261e-01
2.470957161e-03 8.094029437e+02 8.411876204e-02  9.963629246e-01 9.999698997e-01 9.963635206e-01
7.336032346e+00 2.863653906e+00 2.497404524e+02  9.886712432e-01 9.884624481e-01 9.998995066e-01
1.621610818e-02 1.346366282e-01 6.090848979e+01  9.542171955e-01 9.543080330e-01 9.995812774e-01
5.255602595e-02 1.346366282e-01 1.233341550e+02  9.767230153e-01 9.767386317e-01 9.997947812e-01
3.622894657e+00 4.363541516e-01 9.281035089e+00  8.658452630e-01 7.787250280e-01 9.970899224e-01
5.520447568e-01 4.363541516e-01 3.126082198e-03  7.667344809e-01 6.895829439e-01 7.896076422e-04
5.057017137e+02 4.154199425e-02 5.255602595e-02  9.999510050e-01 9.941942096e-01 9.941943884e-01
9.748733216e+01 1.789164098e+00 1.233341550e+02  9.950132370e-01 9.770510793e-01 9.997946620e-01
1.117840450e+00 2.051548602e-02 4.363541516e-01  9.550096393e-01 1.836334169e-01 6.333392859e-01
3.622894657e+00 5.255602595e-02 3.805462768e+01  9.359765649e-01 9.290765524e-01 9.993252158e-01
1.485479863e+01 5.798638843e+00 2.595475819e-02  9.982284307e-01 9.054622054e-01 8.390983939e-01
3.805462768e+01 3.997231013e+02 1.174171654e+01  9.933631420e-01 9.999378324e-01 9.928827286e-01
1.485479863e+01 6.397784427e+02 1.789164098e+00  9.955096841e-01 9.999615550e-01 9.954163432e-01
7.705716174e+01 1.621610818e-02 2.497404524e+02  9.919188023e-01 9.883321524e-01 9.998994470e-01
2.470957161e-03 9.281035089e+00 3.159541551e+02  9.907490015e-01 9.910197854e-01 9.999209046e-01
8.094029437e+02 1.064211750e-01 1.703328464e-01  9.999698997e-01 9.963631630e-01 9.963634014e-01
1.414213562e+00 2.154932053e-01 2.863653906e+00  7.876849174e-01 5.459938645e-01 9.889232516e-01
3.622894657e+00 5.003463632e-03 5.520447568e-01  9.917786121e-01 5.640361309e-01 6.534242034e-01
1.789164098e+00 1.117840450e+00 3.622894657e+00  8.094606996e-01 7.272219658e-01 9.916839600e-01
3.283614496e-02 1.789164098e+00 3.126082198e-03  3.810990751e-01 9.797264338e-01 3.589445055e-01
1.346366282e-01 1.281773994e-02 1.560337477e+02  9.815035462e-01 9.814891815e-01 9.998382330e-01
2.470957161e-03 1.789164098e+00 1.064211750e-01  3.590432107e-01 9.797366858e-01 4.305877984e-01
5.798638843e+00 1.346366282e-01 3.007961686e+01  9.296894073e-01 9.124665260e-01 9.991422296e-01
1.174171654e+01 3.805462768e+01 1.879325237e+01  9.514073133e-01 9.993250370e-01 9.645566344e-01
1.414213562e+00 1.346366282e-01 1.024000000e+03  9.971262813e-01 9.971227050e-01 9.999765158e-01
6.984084199e-01 6.397784427e+02 2.595475819e-02  9.954087138e-01 9.999615550e-01 9.954040647e-01
1.879325237e+01 5.798638843e+00 2.263525295e+00  9.986099005e-01 9.104745388e-01 8.844535947e-01
8.411876204e-02 1.560337477e+02 3.126082198e-03  9.814996123e-01 9.998382330e-01 9.814900160e-01
5.798638843e+00 8.835774907e-01 1.789164098e+00  9.951486588e-01 7.333304882e-01 7.903472781e-01
1.064211750e-01 4.583432958e+00 3.283614496e-02  6.303961277e-01 9.936992526e-01 6.219922304e-01
3.449085301e-01 2.863653906e+00 3.007961686e+01  9.131137729e-01 9.208182693e-01 9.991422296e-01
2.595475819e-02 6.984084199e-01 5.003463632e-03  1.563994437e-01 8.508085608e-01 2.022518776e-03
8.008314156e-03 1.974029857e+02 1.233341550e+02  9.852963686e-01 9.998725057e-01 9.944343567e-01
6.649020861e-02 2.726269332e-01 1.703328464e-01  1.815013885e-01 5.207624435e-01 3.980022371e-01
1.560337477e+02 7.705716174e+01 9.281035089e+00  9.998382330e-01 9.906004667e-01 9.825850725e-01
1.974029857e+02 1.064211750e-01 1.233341550e+02  9.998725057e-01 9.852989316e-01 9.944326282e-01
3.159541551e+02 1.233341550e+02 4.583432958e+00  9.999209046e-01 9.943403602e-01 9.908804297e-01
4.154199425e-02 6.984084199e-01 1.174171654e+01  8.057723641e-01 8.181555867e-01 9.977332354e-01
5.255602595e-02 1.346366282e-01 2.154932053e-01  1.394117475e-01 3.480802178e-01 4.615966082e-01
3.997231013e+02 6.330032277e-03 1.117840450e+00  9.999378324e-01 9.926695228e-01 9.926900268e-01
2.595475819e-02 8.008314156e-03 6.330032277e-03  1.511661261e-01 2.492453158e-02 3.235984361e-03
2.863653906e+00 8.411876204e-02 8.835774907e-01  9.889232516e-01 5.101904273e-01 6.941635609e-01
3.805462768e+01 2.377590863e+01 3.283614496e-02  9.993253350e-01 9.737236500e-01 9.290717244e-01
2.863653906e+00 1.013155902e-02 6.330032277e-03  9.890850782e-01 5.019206405e-01 5.008312464e-01
4.583432958e+00 3.449085301e-01 7.705716174e+01  9.655600786e-01 9.635160565e-01 9.996697903e-01
1.974029857e+02 8.411876204e-02 5.798638843e+00  9.998725057e-01 9.852973819e-01 9.857232571e-01
2.863653906e+00 4.814405365e+01 6.397784427e+02  9.954241514e-01 9.957475662e-01 9.999615550e-01
3.954900579e-03 6.984084199e-01 4.363541516e-01  1.263895538e-03 8.513468504e-01 6.890153289e-01
1.281773994e-02 1.414213562e+00 6.090848979e+01  9.542185664e-01 9.552947283e-01 9.995813370e-01
1.064211750e-01 1.414213562e+00 4.154199425e-02  3.605038226e-01 9.700836539e-01 2.846108973e-01
2.051548602e-02 5.798638843e+00 1.974029857e+02  9.852957129e-01 9.857265353e-01 9.998725057e-01
6.330032277e-03 3.622894657e+00 2.863653906e+00  5.639651418e-01 9.917753935e-01 9.230301976e-01
4.814405365e+01 2.470957161e-03 2.051548602e-02  9.994689226e-01 9.429324269e-01 9.429544806e-01
1.789164098e+00 5.057017137e+02 5.798638843e+00  9.942139387e-01 9.999510050e-01 9.942598343e-01
3.126082198e-03 4.583432958e+00 7.336032346e+00  7.242992520e-01 9.067308903e-01 9.962726831e-01
2.263525295e+00 6.090848979e+01 5.057017137e+02  9.942194223e-01 9.948891997e-01 9.999510050e-01
1.560337477e+02 3.159541551e+02 1.064211750e-01  9.952905178e-01 9.999209046e-01 9.907498360e-01
8.008314156e-03 8.008314156e-03 2.863653906e+00  5.007255673e-01 5.007255673e-01 9.890779853e-01
3.126082198e-03 8.835774907e-01 1.013155902e-02  6.202246249e-02 9.261920452e-01 1.106173247e-01
4.363541516e-01 2.470957161e-03 9.281035089e+00  7.804340124e-01 7.676727176e-01 9.971023798e-01
1.953125000e-03 1.879325237e+01 1.064211750e-01  8.677851558e-01 9.986129403e-01 8.685855269e-01
6.649020861e-02 4.154199425e-02 1.560337477e+02  9.814909697e-01 9.814881086e-01 9.998382330e-01
5.798638843e+00 2.497404524e+02 2.154932053e-01  9.885994792e-01 9.998995066e-01 9.883388281e-01
3.449085301e-01 6.984084199e-01 1.414213562e+00  5.390704870e-01 7.199890614e-01 9.697532654e-01
6.330032277e-03 1.560337477e+02 1.879325237e+01  9.814895391e-01 9.998382330e-01 9.837219715e-01
6.984084199e-01 1.346366282e-01 2.377590863e+01  8.950410485e-01 8.923006654e-01 9.989088178e-01
1.953125000e-03 1.024000000e+03 5.003463632e-03  9.971224666e-01 9.999765158e-01 9.971224666e-01
3.954900579e-03 8.008314156e-03 1.281773994e-02  1.263895654e-03 5.235470459e-02 9.293149412e-02
3.622894657e+00 1.233341550e+02 1.485479863e+01  9.773994088e-01 9.997946620e-01 9.795286059e-01
8.094029437e+02 3.007961686e+01 1.281773994e-02  9.999698997e-01 9.964972734e-01 9.963630438e-01
3.126082198e-03 2.595475819e-02 3.126082198e-03  7.896076422e-04 1.636599600e-01 7.896076422e-04
1.974029857e+02 4.363541516e-01 6.649020861e-02  9.998725057e-01 9.853237867e-01 9.852961898e-01
3.283614496e-02 8.008314156e-03 4.363541516e-01  1.727058738e-01 5.179592874e-03 6.863204241e-01
1.281773994e-02 3.997231013e+02 3.997231013e+02  9.926694036e-01 9.999378324e-01 9.999378324e-01
6.090848979e+01 1.346366282e-01 2.154932053e-01  9.995812178e-01 9.542705417e-01 9.543327093e-01
1.117840450e+00 2.497404524e+02 4.583432958e+00  9.883811474e-01 9.998995066e-01 9.885426760e-01
9.281035089e+00 2.863653906e+00 8.008314156e-03  9.971006513e-01 8.471148014e-01 7.675867081e-01
1.013155902e-02 3.283614496e-02 2.863653906e+00  5.006113052e-01 5.070874691e-01 9.890689254e-01
3.007961686e+01 2.726269332e-01 5.798638843e+00  9.991422296e-01 9.128913283e-01 9.296894073e-01
6.649020861e-02 1.281773994e-02 8.835774907e-01  2.639137208e-01 6.490781158e-02 9.242608547e-01
1.346366282e-01 8.008314156e-03 2.051548602e-02  3.915573061e-01 5.179592874e-03 1.172319502e-01
2.470957161e-03 4.154199425e-02 8.835774907e-01  6.225037202e-02 2.270635664e-01 9.263280630e-01
1.174171654e+01 6.397784427e+02 7.705716174e+01  9.954874516e-01 9.999615550e-01 9.959539771e-01
1.485479863e+01 1.064211750e-01 2.377590863e+01  9.605183601e-01 8.921632767e-01 9.989088178e-01
4.154199425e-02 1.703328464e-01 1.953125000e-03  2.198005915e-01 4.472264946e-01 3.075797867e-04
1.879325237e+01 3.954900579e-03 3.805462768e+01  9.646205902e-01 9.290970564e-01 9.993256330e-01
1.281773994e-02 1.974029857e+02 5.255602595e-02  9.852961898e-01 9.998725057e-01 9.852991700e-01
3.622894657e+00 2.497404524e+02 5.255602595e-02  9.884983301e-01 9.998995066e-01 9.883317351e-01
1.953125000e-03 2.470957161e-03 1.346366282e-01  3.075797867e-04 7.000513375e-03 3.997673094e-01
5.003463632e-03 3.007961686e+01 1.013155902e-02  9.122676849e-01 9.991431236e-01 9.122834802e-01
2.470957161e-03 8.094029437e+02 4.814405365e+01  9.963629246e-01 9.999698997e-01 9.965779781e-01
8.094029437e+02 2.154932053e-01 1.233341550e+02  9.999698997e-01 9.963636994e-01 9.969133139e-01
1.013155902e-02 1.953125000e-03 4.814405365e+01  9.429429173e-01 9.429329634e-01 9.994688630e-01
3.159541551e+02 1.703328464e-01 6.397784427e+02  9.976578355e-01 9.954048395e-01 9.999615550e-01
4.814405365e+01 3.159541551e+02 1.013155902e-02  9.921529889e-01 9.999209046e-01 9.907488227e-01
1.621610818e-02 2.726269332e-01 2.863653906e+00  5.004044771e-01 5.684274435e-01 9.890450835e-01
1.233341550e+02 2.154932053e-01 3.283614496e-02  9.997947812e-01 9.767573476e-01 9.767227769e-01
1.879325237e+01 2.595475819e-02 2.263525295e+00  9.986114502e-01 8.676992655e-01 8.846679330e-01
2.377590863e+01 5.798638843e+00 2.497404524e+02  9.894376397e-01 9.885994792e-01 9.998995066e-01
9.281035089e+00 3.805462768e+01 2.051548602e-02  9.468211532e-01 9.993253350e-01 9.290778637e-01
3.283614496e-02 4.154199425e-02 6.090848979e+01  9.542129636e-01 9.542196393e-01 9.995813370e-01
8.411876204e-02 8.008314156e-03 1.346366282e-01  3.065264523e-01 5.179592874e-03 3.915573061e-01
4.814405365e+01 1.233341550e+02 5.255602595e-02  9.858053327e-01 9.997947812e-01 9.767230153e-01
3.283614496e-02 6.397784427e+02 2.154932053e-01  9.954040647e-01 9.999615550e-01 9.954055548e-01
3.805462768e+01 3.805462768e+01 1.414213562e+00  9.993250370e-01 9.993250370e-01 9.316996336e-01
1.013155902e-02 1.485479863e+01 4.583432958e+00  8.391636610e-01 9.982298613e-01 8.921931982e-01
2.863653906e+00 1.024000000e+03 5.798638843e+00  9.971303940e-01 9.999765158e-01 9.971384406e-01
